lineage	taxon	taxo_id	n
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Creseidae	Creseidae	26525	120
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Limacinidae	Limacinidae	26524	928
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Limacinidae/Limacina	Limacina	56318	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Limacinidae/Limacina/Limacina helicina	Limacina helicina	92809	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Limacinidae/like	like<Limacinidae	94161	326
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Panpulmonata/Helicidae/Helix/Helix aspersa	Helix aspersa	74261	3
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Nudibranchia	Nudibranchia	16797	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/veliger	veliger	85128	3162
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Nematoda/Chromadorea/Spirurida/Gnathostomatoidea/Gnathostoma	Gnathostoma	53147	6
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Platyhelminthes	Platyhelminthes	11489	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Platyhelminthes/Trematoda/Digenea/Opisthorchiida/Siphodera	Siphodera	54079	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/trochozoa/Trochophora	Trochophora	92887	7
living/duplicate	duplicate	84961	5519
living/multiple organisms	multiple organisms	93952	5
living/other	other<living	85011	4056
living/other/egg	egg	85078	82
living/other/egg/like	like<egg	85090	127
living/other/gelatinous	gelatinous	85070	1392
living/other/gelatinous/tentacle	tentacle<gelatinous	94129	24
living/other/othertocheck	othertocheck	85069	19993
living/other/othertocheck/ball with spines	ball with spines	94134	843
living/other/othertocheck/beanlike	beanlike	93682	1825
living/other/othertocheck/caps with filament	caps with filament	94136	2
living/other/othertocheck/darkrods	darkrods	94072	14
living/other/othertocheck/darksphere	darksphere	85217	15682
living/other/othertocheck/double sphere	double sphere	93679	681
living/other/othertocheck/double spike	double spike	94157	35
living/other/othertocheck/elongated star with ball	elongated star with ball	94155	77
living/other/othertocheck/elongated stick	elongated stick	93680	19
living/other/othertocheck/fiber spring	fiber spring	94158	944
living/other/othertocheck/hairy capsule	hairy capsule	94159	134
living/other/othertocheck/helix	helix	94135	24
living/other/othertocheck/lightsphere	lightsphere	93388	14
living/other/othertocheck/nucleus with four arms	nucleus with four arms	94160	35
living/other/othertocheck/protist with spike	protist with spike	94162	8
living/other/othertocheck/sphere	sphere<othertocheck	94147	4
living/other/othertocheck/spiky caps	spiky caps	94156	305
living/other/othertocheck/star with ball	star with ball	94154	207
living/other/part	part<other	85068	1767
not-living/artefact	artefact	85008	49528
not-living/artefact/badfocus	badfocus<artefact	85061	1250782
not-living/artefact/bubble	bubble	85060	9318
not-living/artefact/double	double	93402	10
not-living/artefact/turbid	turbid	85129	25018
not-living/detritus	detritus	84963	3612425
not-living/detritus/compact	compact	85130	409117
not-living/detritus/dark	dark<detritus	85054	31239
not-living/detritus/fecal pellets	fecal pellets	93970	4
not-living/detritus/fiber	fiber	85076	465915
not-living/detritus/fiber/fluffy	fluffy<fiber	85133	13930
not-living/detritus/fluffy	fluffy<detritus	85131	47398
not-living/detritus/fluffy/dark	dark<fluffy	85134	923404
not-living/detritus/fluffy/light	light<fluffy	85135	492683
not-living/detritus/light	light<detritus	85055	17210
not-living/detritus/light aggregates	light aggregates	93721	1
not-living/detritus/ovoid	ovoid	85132	9289
not-living/detritus/sphere	sphere<detritus	85056	10
not-living/detritus/temp cross	temp cross	93623	88
not-living/feces	feces	85026	204903
not-living/molt	molt	92833	343
not-living/plastic/other	other<plastic	85058	39
temporary/t001	t001	85012	362
temporary/t002	t002	85013	894
temporary/t003	t003	85014	115
temporary/t004	t004	85015	158
temporary/t005	t005	85016	2
temporary/t006	t006	85017	81
temporary/t007	t007	85018	279
temporary/t008	t008	85019	1
temporary/t011	t011	85136	23
temporary/t018	t018	85143	2
temporary/t019	t019	85144	16
