psampleid,pprojid,profile,sampleid,lat,lon,pproject
15149,82,msm_060_331_0001,25104,-34.4996666666667,-32.5575,MSM060
15912,73,m116_071,46029,10.9995,-17.9996666666667,M 116
15913,73,m116_072,46013,10.9988333333333,-18.9998333333333,M 116
15690,49,tara_199_01,45578,70.3851666666667,-140.246166666667,TARA 2013
15689,49,tara_198_01,45444,71.4773333333333,-141.866666666667,TARA 2013
15691,49,tara_200_01,45249,71.9943333333333,-93.5181666666667,TARA 2013
14957,83,p1706_69,47589,34.4018333333333,-123.0685,CCELTER 2017
14965,83,p1706_73,47567,34.4485,-122.984833333333,CCELTER 2017
12967,6,tara_014_a,45227,39.8923333333333,12.8473333333333,TARA 2009
17636,99,tara_110_00_b,45168,-1.9245,-84.6181666666667,Tara 2011
15695,49,tara_201_04,45347,74.3351666666667,-85.7741666666667,TARA 2013
17635,99,tara_110_00_a,45613,-2.009,-84.5896666666667,Tara 2011
15541,69,m106_069,46280,-4.49983333333333,-23.0008333333333,M 106
11317,31,moose2015_ge_leg2_013,912,40.7946666666667,7.99983333333333,MOOSE GE 2015
12556,51,tara_142_00_c,45422,25.6316666666667,-88.4531666666667,TARA 2012 B
14419,76,c_m121_1163,44430,-19.7646666666667,12.2885,M 121
12571,51,tara_143_00_c,45096,29.9096666666667,-79.7415,TARA 2012 B
12568,51,tara_142_05_a,45634,27.8756666666667,-79.5031666666667,TARA 2012 B
12561,51,tara_142_00_h,45550,25.6665,-88.4671666666667,TARA 2012 B
11325,31,moose2015_ge_leg2_016,995,40.8996666666667,7.8335,MOOSE GE 2015
12572,51,tara_143_00_d,45601,29.8555,-79.6493333333333,TARA 2012 B
12573,51,tara_143_00_e,45283,29.9295,-79.6635,TARA 2012 B
12570,51,tara_143_00_b,45052,29.7305,-79.6746666666667,TARA 2012 B
12567,51,tara_142_04_a,45282,25.4746666666667,-79.8033333333333,TARA 2012 B
12574,51,tara_143_00_f,45050,29.8545,-79.6463333333333,TARA 2012 B
14872,81,station4_cast18,10372,47.2175,-38.2065,NAAMES 02
16782,70,c_m107_071,44300,19.7676666666667,-17.5763333333333,M 107
12578,51,tara_148_00_b,45248,31.8321666666667,-64.1138333333333,TARA 2012 B
12576,51,tara_143_01_a,45530,31.8395,-78.6693333333333,TARA 2012 B
12564,51,tara_142_02_a,45687,24.8625,-84.3685,TARA 2012 B
12588,51,tara_149_00_a,45060,34.0963333333333,-49.8906666666667,TARA 2012 B
12581,51,tara_148_00_e,45049,31.7741666666667,-64.129,TARA 2012 B
12591,51,tara_149_00_d,45348,34.0895,-49.7903333333333,TARA 2012 B
12589,51,tara_149_00_b,45423,34.0433333333333,-49.8198333333333,TARA 2012 B
12593,51,tara_150_00_a,45456,35.907,-37.261,TARA 2012 B
14919,81,station4_cast9,10404,47.4615,-38.7758333333333,NAAMES 02
15091,82,msm_060_222_0001,25146,-34.8325,-15.5013333333333,MSM060
13860,56,an1304_l1_089,2069,79.296,-71.445,AN 1304
16520,2,boum157,7277,39.0995,5.34033333333333,BOUM 2008
16668,70,c_m107_013,44432,18.183,-16.7501666666667,M 107
15815,72,c_ps88b_030,44285,3.00016666666667,-23.0005,PS 88B
11963,47,p0387,315,27.0826666666667,-62.7468333333333,SARGASSO A
11880,48,p4209,709,27.0023333333333,-59.4988333333333,SARGASSO B
11967,47,p0425,316,28.334,-62.7505,SARGASSO A
11969,47,p0448,327,29.3335,-62.7521666666667,SARGASSO A
16542,2,boum181,7178,39.2255,5.15766666666667,BOUM 2008
11883,48,p42108,697,27.8268333333333,-49.9718333333333,SARGASSO B
14089,60,gn2015_l2_023,3630,67.4795,-63.79,GREENEDGE ICE CAMP 2015
15463,69,m106_043,46270,1.66783333333333,-23.0008333333333,M 106
15484,69,m106_048,46286,-0.0011667,-23.0163333333333,M 106
11123,32,somba_2014_leg1_004,1742,38.3311666666667,9.34933333333333,SOMBA 2014
17643,99,tara_111_00_a,45179,-16.9603333333333,-100.630166666667,Tara 2011
15791,72,c_ps88b_023,44276,6.03466666666667,-23.2163333333333,PS 88B
11917,48,p42154,753,35.1773333333333,-31.6316666666667,SARGASSO B
11588,46,outpace_007,1776,-17.9048333333333,159.943333333333,OUTPACE 2015
11582,46,outpace_005,1859,-17.997,159.901666666667,OUTPACE 2015
15861,72,c_ps88b_043,44272,1.66633333333333,-23.0001666666667,PS 88B
11596,46,outpace_014,1945,-18.5843333333333,162.106666666667,OUTPACE 2015
15854,72,c_ps88b_041,44273,1.00016666666667,-23.001,PS 88B
11911,48,p42149,693,31.9855,-37.6653333333333,SARGASSO B
11594,46,outpace_010,1746,-18.6078333333333,162.124833333333,OUTPACE 2015
11595,46,outpace_011,1770,-18.6011666666667,162.117166666667,OUTPACE 2015
11610,46,outpace_024,1754,-19.2115,164.6885,OUTPACE 2015
12616,51,tara_152_00_l,45532,43.7903333333333,-16.887,TARA 2012 B
11607,46,outpace_022,1931,-19.2123333333333,164.691166666667,OUTPACE 2015
15639,49,tara_175_01,45027,79.2238333333333,66.3443333333333,TARA 2013
11608,46,outpace_023,1880,-19.2138333333333,164.6875,OUTPACE 2015
11906,47,p0151,300,24.9933333333333,-68.504,SARGASSO A
11918,47,p0184,312,26.4158333333333,-65.5005,SARGASSO A
11909,47,p0157,332,24.999,-65.4981666666667,SARGASSO A
11893,47,p0115,328,27.064,-68.4421666666667,SARGASSO A
11934,47,p0243,320,28.9845,-62.5246666666667,SARGASSO A
11924,47,p0207,308,27.325,-65.5026666666667,SARGASSO A
11926,47,p0217,321,27.834,-65.4903333333333,SARGASSO A
11915,47,p0177,317,25.9833333333333,-65.4078333333333,SARGASSO A
11948,48,p4287,706,26.3336666666667,-50.0091666666667,SARGASSO B
11928,47,p0221,323,28.3311666666667,-65.4878333333333,SARGASSO A
11885,47,p0092,343,27.5245,-68.4958333333333,SARGASSO A
11953,47,p0303,297,25.1465,-62.5135,SARGASSO A
11945,47,p0289,305,24.9538333333333,-62.581,SARGASSO A
11951,47,p0301,331,25.0608333333333,-62.4808333333333,SARGASSO A
11949,47,p0294,341,25.0001666666667,-62.4973333333333,SARGASSO A
11943,47,p0287,344,25.1345,-62.6011666666667,SARGASSO A
11959,47,p0342,347,25.6145,-62.8003333333333,SARGASSO A
17647,99,tara_111_00_e,45430,-16.9633333333333,-100.703833333333,Tara 2011
15190,82,msm_060_395_0001,25099,-34.5003333333333,-43.0505,MSM060
15128,82,msm_060_298_0001,25109,-34.4993333333333,-27.3341666666667,MSM060
17649,99,tara_111_00_g,45297,-16.9486666666667,-100.6715,Tara 2011
15855,73,m116_032,46017,7,-28,M 116
15831,73,m116_022,46055,10,-35.0001666666667,M 116
17650,99,tara_111_00_h,45188,-16.9428333333333,-100.691333333333,Tara 2011
15800,73,m116_012,46043,9.00016666666667,-40.1673333333333,M 116
11629,46,outpace_039,1755,-19.2573333333333,164.670166666667,OUTPACE 2015
15843,73,m116_026,46006,10.9998333333333,-32.9998333333333,M 116
11630,46,outpace_040,1839,-19.2455,164.661166666667,OUTPACE 2015
17651,99,tara_111_00_i,45706,-16.9651666666667,-100.623,Tara 2011
11639,46,outpace_046,1797,-19.2731666666667,164.652166666667,OUTPACE 2015
15673,49,tara_189_03,45464,77.9163333333333,116.9475,TARA 2013
11647,46,outpace_052,1819,-19.2348333333333,164.61,OUTPACE 2015
11633,46,outpace_042,1895,-19.2561666666667,164.6375,OUTPACE 2015
11641,46,outpace_047,1888,-19.2731666666667,164.657333333333,OUTPACE 2015
11642,46,outpace_048,1811,-19.2543333333333,164.641166666667,OUTPACE 2015
11638,46,outpace_045,1889,-19.274,164.645166666667,OUTPACE 2015
15677,49,tara_189_07,45643,78.0901666666667,116.104833333333,TARA 2013
15208,82,msm_060_427_0001,25112,-34.4996666666667,-48,MSM060
14820,82,msm_060_007_0001,25115,-34.3446666666667,17.6585,MSM060
12586,51,tara_148_01_c,45051,33.9736666666667,-56.8348333333333,TARA 2012 B
11653,46,outpace_057,1853,-19.2446666666667,164.583333333333,OUTPACE 2015
15678,49,tara_189_08,45526,78.1096666666667,115.990333333333,TARA 2013
15684,49,tara_194_03,45539,73.2861666666667,-168.664166666667,TARA 2013
12590,51,tara_149_00_c,45416,34.0771666666667,-49.8233333333333,TARA 2012 B
12577,51,tara_148_00_a,45394,31.6961666666667,-64.2471666666667,TARA 2012 B
15687,49,tara_196_02,45338,71.8755,-154.917333333333,TARA 2013
12614,51,tara_152_00_j,45303,43.7445,-16.8836666666667,TARA 2012 B
15096,82,msm_060_231_0001,25117,-34.4978333333333,-16.8556666666667,MSM060
12624,51,tara_153_00_e,45065,44.043,-16.5346666666667,TARA 2012 B
12628,51,tara_154_00_a,45395,44.3551666666667,-10.0716666666667,TARA 2012 B
12625,51,tara_153_00_f,45045,44.0533333333333,-16.5221666666667,TARA 2012 B
12623,51,tara_153_00_d,45302,44.0341666666667,-16.5455,TARA 2012 B
15842,72,c_ps88b_038,44289,-6.16666666666667e-4,-23.0033333333333,PS 88B
17659,99,tara_111_07_a,45171,-24.1985,-110.444833333333,Tara 2011
